age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income_bracket
26,Private,368852.0,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,42,United-States,<=50K
65,?,266070.0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,16,United-States,<=50K
33,?,99872.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,8614,0,40,India,>50K
39,Private,296450.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
45,Private,151835.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,United-States,<=50K
17,Private,206599.0,10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,<=50K
34,State-gov,368739.0,12th,8,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,United-States,<=50K
33,Private,165108.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,England,>50K
38,Private,180686.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
49,Local-gov,226902.0,Some-college,10,Never-married,Sales,Unmarried,White,Female,13550,0,50,United-States,>50K
36,Private,197332.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
19,Private,250802.0,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,48,United-States,<=50K
42,Local-gov,159247.0,HS-grad,9,Separated,Protective-serv,Unmarried,White,Male,0,0,40,United-States,<=50K
22,Private,282181.0,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
42,Private,152030.0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
34,Private,81347.0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1887,40,United-States,>50K
45,Private,90758.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
52,Private,124963.0,7th-8th,4,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
34,Private,319163.0,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,38,United-States,<=50K
44,Private,114691.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
24,Private,100079.0,HS-grad,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,India,<=50K
41,Private,124356.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
52,Private,269182.0,11th,7,Divorced,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K
35,Private,205733.0,7th-8th,4,Separated,Handlers-cleaners,Other-relative,White,Female,0,0,40,United-States,<=50K
35,Private,101027.0,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,43,United-States,<=50K
41,Local-gov,179484.0,10th,6,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,45,United-States,<=50K
20,?,320330.0,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
45,Private,214896.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K
29,Private,166626.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,30,United-States,<=50K
30,Private,316027.0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,Cuba,<=50K
36,Private,125733.0,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
23,Private,343553.0,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,45,United-States,<=50K
57,Private,193586.0,Bachelors,13,Divorced,Exec-managerial,Other-relative,Black,Female,7688,0,35,United-States,>50K
37,Private,74949.0,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
22,Private,300290.0,Bachelors,13,Never-married,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K
59,Local-gov,213477.0,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,0,0,60,United-States,<=50K
24,Private,47170.0,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Male,0,0,35,United-States,<=50K
29,Private,176716.0,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,15,United-States,<=50K
26,Private,278322.0,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,1055,0,48,United-States,<=50K
38,Private,27415.0,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,12,United-States,<=50K
55,Private,99185.0,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,15,United-States,>50K
25,Private,41374.0,HS-grad,9,Never-married,Exec-managerial,Other-relative,White,Female,0,0,35,United-States,<=50K
23,Private,255474.0,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,55,United-States,<=50K
47,Private,40135.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
33,Private,364059.0,Some-college,10,Separated,Other-service,Own-child,White,Male,0,0,33,United-States,<=50K
29,Private,162187.0,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
22,Private,604380.0,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
45,Private,245918.0,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,35,United-States,>50K
46,Private,217214.0,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
38,Private,270889.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
21,Private,208122.0,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
26,Private,112706.0,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,25,United-States,<=50K
41,Private,91189.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,133557.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
35,Private,261278.0,Bachelors,13,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,21,United-States,>50K
61,?,218215.0,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
31,State-gov,299831.0,5th-6th,3,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
29,Private,168496.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
32,Private,213894.0,HS-grad,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
36,Private,182117.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,30,United-States,<=50K
29,Private,469697.0,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,<=50K
34,Private,214542.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,50,United-States,<=50K
39,State-gov,66356.0,HS-grad,9,Divorced,Craft-repair,Unmarried,Black,Female,0,0,30,United-States,<=50K
39,Private,444304.0,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
26,Private,208802.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
36,Private,171852.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,301199.0,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
33,Private,104361.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
52,State-gov,104651.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
28,Private,184924.0,9th,5,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Local-gov,66473.0,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,43,United-States,<=50K
35,Local-gov,116825.0,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
54,Private,227580.0,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,50,United-States,<=50K
52,Private,154120.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,171814.0,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
46,Private,401051.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,<=50K
41,Private,359193.0,Some-college,10,Married-civ-spouse,Tech-support,Husband,Black,Male,0,0,40,United-States,<=50K
23,Private,271714.0,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,20,United-States,<=50K
50,Private,183657.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
29,Private,133299.0,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
19,Private,237340.0,12th,8,Never-married,Transport-moving,Not-in-family,White,Female,0,0,20,United-States,<=50K
23,State-gov,349368.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Other,Male,0,0,60,United-States,<=50K
51,Federal-gov,266529.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
22,Private,279340.0,HS-grad,9,Never-married,Craft-repair,Other-relative,Black,Male,0,0,25,United-States,<=50K
32,Private,210781.0,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
32,Private,175674.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,United-States,<=50K
23,Private,406431.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,10,United-States,<=50K
28,Private,193586.0,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
21,Private,50748.0,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Other,Female,0,0,40,United-States,<=50K
54,State-gov,146767.0,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,2002,50,United-States,<=50K
36,Private,297906.0,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,1590,40,United-States,<=50K
46,Private,462966.0,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,20,El-Salvador,<=50K
41,State-gov,90379.0,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K
32,Private,350387.0,HS-grad,9,Never-married,Craft-repair,Other-relative,Black,Female,0,0,50,United-States,<=50K
40,Private,35961.0,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,Germany,<=50K
30,Private,182246.0,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Private,208657.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,45,United-States,<=50K
25,Private,54257.0,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
51,Private,320277.0,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,99999,0,40,United-States,>50K
24,Private,362787.0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,38,United-States,<=50K
39,Private,37370.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
31,Private,152617.0,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1740,40,United-States,<=50K
27,Private,152030.0,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
35,Private,122038.0,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
46,Federal-gov,350387.0,Some-college,10,Separated,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
28,Private,181821.0,HS-grad,9,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K
58,Self-emp-not-inc,193882.0,12th,8,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States,<=50K
39,Self-emp-not-inc,391874.0,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
34,Self-emp-inc,111949.0,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
26,Private,45607.0,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,60,United-States,<=50K
21,Private,220115.0,Bachelors,13,Never-married,Craft-repair,Own-child,Black,Female,0,0,20,United-States,<=50K
25,Private,394213.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Mexico,<=50K
21,Private,287988.0,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,35,United-States,<=50K
22,Private,289748.0,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,Private,183092.0,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
46,Private,126701.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,<=50K
30,State-gov,84790.0,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,20,United-States,<=50K
36,?,362302.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,20,Philippines,<=50K
28,Private,382738.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
28,Federal-gov,73585.0,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K
64,Self-emp-inc,193165.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
41,Self-emp-not-inc,81853.0,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Other,Male,0,0,60,United-States,>50K
21,Private,237731.0,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K
24,Private,200728.0,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
22,Private,110027.0,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,El-Salvador,<=50K
40,Private,186303.0,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
39,Private,213477.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Private,200967.0,10th,6,Married-spouse-absent,Transport-moving,Not-in-family,White,Female,0,0,40,United-States,<=50K
36,Self-emp-inc,70645.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
43,Self-emp-not-inc,272944.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
62,Self-emp-not-inc,35633.0,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
30,Self-emp-inc,157262.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,<=50K
44,Private,149756.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,United-States,<=50K
33,Federal-gov,304973.0,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K
21,Private,233280.0,Some-college,10,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,<=50K
41,Self-emp-inc,260696.0,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
44,Self-emp-not-inc,121865.0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
33,Private,111949.0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K
30,Self-emp-not-inc,125933.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,15024,0,40,United-States,>50K
43,Self-emp-not-inc,34179.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
54,Self-emp-inc,58898.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
38,Self-emp-not-inc,181091.0,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,68,United-States,<=50K
52,Private,180187.0,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,?,<=50K
37,Private,36877.0,11th,7,Never-married,Sales,Other-relative,White,Female,0,0,50,United-States,<=50K
41,Private,116834.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,?,>50K
30,?,403910.0,Bachelors,13,Married-civ-spouse,?,Wife,White,Female,0,0,40,United-States,<=50K
49,Private,193165.0,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,>50K
48,Private,107302.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
48,Private,221172.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
35,Private,187693.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,30,United-States,<=50K
69,Private,120068.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,<=50K
35,Private,33487.0,HS-grad,9,Divorced,Transport-moving,Unmarried,White,Male,0,0,40,United-States,>50K
35,Private,176716.0,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,37,United-States,<=50K
59,Private,250038.0,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,36,Mexico,<=50K
47,Private,185369.0,Some-college,10,Widowed,Protective-serv,Unmarried,White,Male,15024,0,40,United-States,>50K
32,Private,62346.0,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Private,201624.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,48,?,>50K
54,Private,195337.0,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,33,United-States,<=50K
46,Private,319831.0,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,36,United-States,<=50K
39,Private,747719.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,15024,0,40,United-States,>50K
54,Federal-gov,339168.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,>50K
30,Private,56648.0,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
39,Private,140854.0,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,48,United-States,<=50K
25,Private,240900.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1887,40,United-States,>50K
28,Private,100728.0,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
45,Private,173047.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K
25,Private,72896.0,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,1590,40,United-States,<=50K
34,Private,144808.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,52,United-States,>50K
29,Private,111319.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,41183.0,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
51,Private,192945.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
36,Private,383493.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
51,Private,75891.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
52,Private,37237.0,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
35,Private,188694.0,HS-grad,9,Never-married,Exec-managerial,Other-relative,Black,Male,0,0,50,United-States,<=50K
60,Private,356041.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
38,Private,116518.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,255635.0,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K
50,Private,34572.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
34,Private,187346.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
38,Private,260938.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K
54,Private,211154.0,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Female,0,0,43,United-States,<=50K
41,Federal-gov,279968.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
41,Private,39478.0,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K
42,Local-gov,125550.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,25,United-States,>50K
41,Private,187226.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
52,Local-gov,183898.0,Assoc-acdm,12,Separated,Tech-support,Not-in-family,White,Female,0,0,55,Germany,<=50K
38,Private,241951.0,Bachelors,13,Married-spouse-absent,Prof-specialty,Unmarried,Black,Female,0,0,60,United-States,<=50K
36,Private,240462.0,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,20,United-States,<=50K
33,Private,642830.0,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,56,United-States,<=50K
27,Private,36040.0,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,<=50K
44,Private,101656.0,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,70,Vietnam,<=50K
54,Self-emp-inc,201871.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
48,Self-emp-inc,421223.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,55,United-States,>50K
60,State-gov,182691.0,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Self-emp-not-inc,255454.0,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
52,Self-emp-not-inc,591711.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,45,?,<=50K
57,Self-emp-not-inc,37023.0,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
47,Self-emp-not-inc,181091.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,16,United-States,>50K
30,Self-emp-not-inc,50402.0,11th,7,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K
39,Self-emp-not-inc,301802.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,<=50K
23,Private,137367.0,Some-college,10,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,25,Philippines,<=50K
36,Self-emp-not-inc,107277.0,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K
23,Self-emp-not-inc,365430.0,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K
55,?,155343.0,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,56,United-States,<=50K
70,?,96102.0,Some-college,10,Married-civ-spouse,?,Husband,White,Male,99999,0,20,United-States,>50K
44,?,50562.0,HS-grad,9,Married-civ-spouse,?,Other-relative,White,Female,0,0,50,El-Salvador,>50K
